author_id,name
825,Ray Yoshimoto
826,Suguro Chayamachi
827,Blizzard Entertainment
828,Mauro Boselli
829,Enrico Marini
830,John Waters
831,Philip Amara
832,Phil Amara
833,Kaoru Ohashi
834,Aaron Sparrow
835,Alethea Nibley
836,Kei Kusunoki
837,Kate T. Williamson
838,Futaro Yamada
839,Masaki Segawa
840,Malcolm Smith
841,Randy DuBurke
842,Aaron Lopresti
843,Jeffrey Moy
844,Philip Ardagh
845,Stafford Cliff
846,Leanne Banks
847,Adam Mansbach
848,Lawrence Block
849,Luc Sante
850,Ellen Weiss
851,Graham McNeill
852,Roger McKenzie
853,David Michelinie
854,Jan Strnad
855,Ryder Windham
856,John Nadeau
857,Gary Erskine
858,Jordi Ensign
859,Michael A. Stackpole
860,Allen Nunis
861,W. Haden Blackman
862,Kelley Puckett
863,Damion Scott
864,Don Pendleton
865,Marc Sautet
866,Robert Arp
867,Donald D. Palmer
868,William Irwin
869,Dave Robinson
870,David Stewart
871,Joss Whedon
872,Ben Oliver
873,Sunao Yoshida
874,Nobuhiro Watsuki
875,Jeff MacNelly
876,Joe Kelly
877,John Wells
878,Frank Cho
879,Jane Goodall
880,Tsutomu Nihei
881,Laura Lee
882,Oh! Great
883,Ramon Perez
884,Kevin J. Taylor
885,Ramsey Campbell
886,Scott Thybony
887,Jim Starlin
888,Greg Rucka
889,Rocky Wood
890,Jennifer Traig
891,Suzan Colon
892,John A. Keel
893,Whitley Strieber
894,Bill Maher
895,Jen Van Meter
896,Jim Unger
897,Carlos Meglia
898,Mike Kennedy
899,David Macaulay
900,Gary Jeffrey
901,Stephen Green
902,Danny Gregory
903,Donna Jo Napoli
904,Bob Temple
905,Davide Fabbri
906,Christian Dalla Vecchia
907,John Ostrander
908,Bob Andelman
909,Cary Nord
910,Dave Stewart
911,Paul Lee
912,Pat Lee
913,Akira Yoshida
914,Sam Johnson
915,Aaron Rosenberg
916,Kim Newman
917,Marta Acosta
918,Simon Fraser
919,Janet S. Wong
920,Wendy Watson
921,Syd Hoff
922,Debra Hess
923,Max Beerbohm
924,Tom Bierbaum
925,Mary Bierbaum
926,Greg Land
927,Matt Smith
928,Larry Young
929,Cathy Guisewite
930,Saki Okuse
931,Aki Shimizu
932,Rachel Roberts
933,Martin Rowson
934,N. John Hall
935,D'Israeli
936,Michael Manning
937,Thomas Mann
938,Juan Ferreyra
939,Peter Milligan
940,Keith Baker
941,David Bishop
942,John Shaw
943,Jimmy James
944,Ernie Bushmiller
945,Mary-Lou Weisman
946,Penny Jordan
947,Denise Ciencin
948,Chris Ryall
949,James A. Owen
950,Oliver Ho
951,Elizabeth Hurchalla
952,Bob Budiansky
953,Marc Andreyko
954,Wilson Tortosa
955,Munier Sharrieff
956,Walter Hill
957,Dan O'Bannon
958,James Cameron
959,Stephen Crane
960,Gary Reed
961,Doug Moench
962,Gary Friedrich
963,Jim Clark
964,Gary Larson
965,Joe Brainard
966,Ron Padgett
967,Jeremy Barlow
968,David Michael Beck
969,Welles Hartley
970,Jan Duursema
971,J.W. Rinzler
972,Bonnie Burton
973,Adriana Melo
974,Michel Lacombe
975,Thomas Andrews
976,Brian Ching
977,Travel Foreman
978,Michael Atiyeh
979,Travis Charest
980,John Jackson Miller
981,Doug Wheatley
982,Donald F. Glut
983,Matt Fillbach
984,Shawn Fillbach
985,Dave Land
986,Ben Caldwell
987,Dan Parsons
988,Brad Anderson
989,Brandon Badeaux
990,Robert Williams
991,Ryan Benjamin
992,Curtis Arnold
993,Stewart McKenny
994,Joe Corroney
995,Nicola Scott
996,Olivier Vatine
997,Steven Barnes
998,Jeremy Roberts
999,Mamoru Oshii
1000,Mine Yoshizaki
1001,Robert Kanigher
1002,Jerry Grandinetti
1003,Bob Haney
1004,Stephan Pastis
1005,Joe Kubert
1006,Lawrence Watt-Evans
1007,Steve Bryant
1008,Eugene Byrne
1009,Roger Price
1010,Koshi Rikudo
1011,Yoshio Sawai
1012,Brian Wood
1013,Ed Greenwood
1014,Neville Brody
1015,Michael Burgan
1016,Ray Garton
1017,Sheri S. Tepper
1018,F. Paul Wilson
1019,Brandon McKinney
1020,David Wojnarowicz
1021,John Scott
1022,Gene Simmons
1023,Don Freeman
1024,Mitch Byrd
1025,Brad Gorby
1026,Jonathon Green
1027,Ryan Johnson
1028,William W. Johnstone
1029,Rick Ross
1030,Lee H. Hamilton
1031,Paul Kupperberg
1032,Ed McBain
1033,Sean Kelly
1034,Charles Burns
1035,Edward Gorey
1036,Erika Lopez
1037,Sakura Mizuki
1038,Ann M. Martin
1039,Raina Telgemeier
1040,Patrick Williams
1041,David Tischman
1042,David Hahn
1043,Frank Quitely
1044,Darrin Bell
1045,Henry Jenkins
1046,Melissa de la Cruz
1047,Aimee Friedman
1048,Andrew Matthews
1049,Mike Smith
1050,J.E. Bright
1051,Andy Griffiths
1052,Terry Collins
1053,Jane B. Mason
1054,Alison Bechdel
1055,Charles C. Mann
1056,Timothy Moriarty
1057,Wolfgang Amadeus Mozart
1058,David Murray
1059,Jerry Beck
1060,Frank Darabont
1061,Alan Ball
1062,Mike Peters
1063,Lisa French
1064,David Goodman
1065,Arthur Goodman
1066,Irene Nemirovsky
1067,Leonard S. Marcus
1068,Emma Bull
1069,Paul Ruditis
1070,Leah Wilson
1071,Joe Jusko
1072,Sean Phillips
1073,Sophie Cossette
1074,Pauline Reage
1075,Flannery O'Connor
1076,Roger Stern
1077,Jerry Ordway
1078,Jeremy Aynsley
1079,Larry Elmore
1080,George Carlin
1081,Jim Murray
1082,Mike Collins
1083,Terry Dowling
1084,Fritz Leiber
1085,Gene Wolfe
1086,Scott Edelman
1087,George McManus
1088,Kris Grimminger
1089,Michael Robin
1090,Christopher Priest
1091,Jonathan Nolan
1092,John Tollett
1093,Upton Sinclair
1094,Joe Casey
1095,Michael J. Nelson
1096,John Smith
1097,Michael Johnson
1098,Martin I. Green
1099,Jonathan Carroll
1100,Leonard Koren
1101,Simon Grennan
1102,Louise Fili
1103,John Canemaker
1104,Meljean Brook
1105,Morgan Llywelyn
1106,Daniel Topolski
1107,Nancy Spector
1108,Amanda Haley
1109,Betty Neels
1110,Emma Chichester Clark
1111,Edward Said
1112,Pamela Ribon
1113,Robert L. Short
1114,Tony Millionaire
1115,George Gately
1116,Charles Brooks
1117,Anne Elizabeth Moore
1118,Heather Roberson
1119,Harry Hamernik
1120,Will Elder
1121,Terry Zwigoff
1122,Drew Friedman
1123,Brian K. Vaughan
1124,Dale Keown
1125,Mike Wolfer
1126,Tony Harris
1127,Billy Tan
1128,Ken Meyer
1129,Ben Templesmith
1130,Jacen Burrows
1131,Juan Jose Ryp
1132,Chris Weston
1133,Colleen Doran
1134,Adi Granov
1135,Shizuru Hayashiya
1136,Yosuke Kuroda
1137,Kiyohiko Azuma
1138,Faye Perozich
1139,Sean J. Jordan
1140,Robin Gillespie
1141,Mat Broome
1142,Ryan Stegman
1143,Dan Slott
1144,Frank Beddor
1145,David Wellington
1146,Brian Hall
1147,Andrew Sean Greer
1148,Greg Garrett
1149,Maya Banks
1150,Aaron Shepard
1151,Graham Joyce
1152,Melanie Marks
1153,Johanna Drucker
1154,Steve Jones
1155,Robert Bringhurst
1156,Robin Landa
1157,Jean Toomer
1158,Paul Laurence Dunbar
1159,Mark Victor Hansen
1160,Michael Abrash
1161,Anthea Bell
1162,Ian McDonald
1163,Walter Hopps
1164,Charles Simic
1165,Holly Black
1166,Lance Parkin
1167,Julio Cortazar
1168,Beth Lisick
1169,Teresa Southwick
1170,Raymond Khoury
1171,Eric Nolen-Weathington
1172,Kevin Maguire
1173,George Khoury
1174,Todd McFarlane
1175,Albert Uderzo
1176,Julie Komorn
1177,Jonathan Tropper
1178,Joe Coleman
1179,Natsuki Takaya
1180,Joann Sfar
1181,Arthur Byron Cover
1182,Camille Rose Garcia
1183,Stanley Crouch
1184,Megan Kelso
1185,Milton Caniff
1186,Christa Faust
1187,Lucius Shepard
1188,Anna Fienberg
1189,Dan Brereton
1190,Anna Gavalda
1191,Jim Benton
1192,William Steig
1193,Isobelle Carmody
1194,Sara Ryan
1195,J. Sheridan Le Fanu
1196,Nancy Kilpatrick
1197,David Hughes
1198,Charles Portis
1199,Gahan Wilson
1200,Michael Scott
1201,Thomas E. Sniegoski
1202,Ford Lytle Gilmore
1203,James A. Moore
1204,Jeff Mariotte
1205,Nancy Holder
1206,Amber Benson
1207,Carl Chatfield
1208,Paul Rand
1209,Jon Scieszka
1210,Kazu Kibuishi
1211,Sho Murase
1212,David Bergantino
1213,Tom Mason
1214,Dan Danko
1215,Tom Smart
1216,Erin Hunter
1217,Angela Carter
1218,Dylan Evans
1219,Steven Brust
1220,Chet Williamson
1221,Emily King
1222,Nina Antonia
1223,David Liss
1224,Sarah Meyer
1225,John Drew
1226,Charles S. Anderson Design Company
1227,John O'Hara
1228,Brian M. Kane
1229,James Bama
1230,Mirko Ilic
1231,Margaret Way
1232,Renee Roszel
1233,James Robinson
1234,Jimmie Robinson
1235,Che' Gilson
1236,Stephen R. Lawhead
1237,Michel Plessix
1238,Fabian Nicieza
1239,Gary Martin
1240,Bill Wilson
1241,Banana Yoshimoto
1242,Robbi Rodriguez
1243,Jim Massey
1244,Keith Miller
1245,Toby Litt
1246,Kazusa Takashima
1247,Carlos Polimeni
1248,Goseki Kojima
1249,Kazuo Koike
1250,Jamie S. Rich
1251,Marc Ellerby
1252,Jennifer de Guzman
1253,Brian Belew
1254,Dame Darcy
1255,Washington Irving
1256,Deborah Simmons
1257,Sharon Shinn
1258,Midori
1259,Steve Almond
1260,Chuck Dixon
1261,Dennis O'Neil
1262,Bob Kane
1263,Alan Grant
1264,Dirk Maggs
1265,John Marsden
1266,Banksy
1267,Robert Rodriguez
1268,Alice Wexler
1269,David Mazzucchelli
1270,Paul Karasik
1271,Bob Callahan
1272,Dennis Cooper
1273,John Lee
1274,Liam O'Donnell
1275,Marcia Williams
1276,David Remnick
1277,Robert Mankoff
1278,Richard Lawrence
1279,Steve White
1280,Osamu Tezuka
1281,Octavia E. Butler
1282,James Lewis
1283,Lynn Varley
1284,Milo George
1285,Megan Abbott
1286,James Weldon Johnson
1287,Dian Hanson
1288,Stewart Home
1289,Matt Hollingswort
1290,Darko Macan
1291,Matt Hollingsworth
1292,Paul Grist
1293,Steven T. Seagle
1294,Gabriel Hernandez
1295,Kris Oprisko
1296,Marc Cerasini
1297,Reginald Hudlin
1298,Aaron McGruder
1299,Jeff Limke
1300,Yoshihiro Tatsumi
